Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:04:40.474000,VER,1,0 days 00:01:55.659000,1.0,1.0,NaT,NaT,NaT,0 days 00:00:49.787000,0 days 00:00:29.968000,NaT,0 days 01:04:10.613000,0 days 01:04:40.504000,319.0,196.0,212.0,298.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:02:44.614000,NaT,1,4.0,,,False,False
0 days 01:06:33.577000,VER,1,0 days 00:01:53.103000,2.0,1.0,NaT,NaT,0 days 00:00:32.291000,0 days 00:00:50.712000,0 days 00:00:30.100000,0 days 01:05:12.795000,0 days 01:06:03.507000,0 days 01:06:33.607000,302.0,194.0,211.0,307.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:04:40.474000,NaT,12,4.0,,,False,True
0 days 01:08:25.854000,VER,1,0 days 00:01:52.277000,3.0,1.0,NaT,NaT,0 days 00:00:31.758000,0 days 00:00:50.325000,0 days 00:00:30.194000,0 days 01:07:05.365000,0 days 01:07:55.690000,0 days 01:08:25.884000,323.0,184.0,213.0,307.0,True,SOFT,3.0,True,Red Bull Racing,0 days 01:06:33.577000,NaT,21,4.0,,,False,True
0 days 01:10:18.643000,VER,1,0 days 00:01:52.789000,4.0,1.0,NaT,NaT,0 days 00:00:31.881000,0 days 00:00:50.599000,0 days 00:00:30.309000,0 days 01:08:57.765000,0 days 01:09:48.364000,0 days 01:10:18.673000,325.0,187.0,212.0,308.0,False,SOFT,4.0,True,Red Bull Racing,0 days 01:08:25.854000,NaT,1,4.0,,,False,True
0 days 01:12:11.245000,VER,1,0 days 00:01:52.602000,5.0,1.0,NaT,NaT,0 days 00:00:32.001000,0 days 00:00:50.201000,0 days 00:00:30.400000,0 days 01:10:50.674000,0 days 01:11:40.875000,0 days 01:12:11.275000,325.0,179.0,211.0,307.0,False,SOFT,5.0,True,Red Bull Racing,0 days 01:10:18.643000,NaT,1,4.0,,,False,True
0 days 01:14:03.375000,VER,1,0 days 00:01:52.130000,6.0,1.0,NaT,NaT,0 days 00:00:31.967000,0 days 00:00:49.818000,0 days 00:00:30.345000,0 days 01:12:43.242000,0 days 01:13:33.060000,0 days 01:14:03.405000,341.0,188.0,209.0,308.0,True,SOFT,6.0,True,Red Bull Racing,0 days 01:12:11.245000,NaT,1,3.0,,,False,True
0 days 01:15:55.790000,VER,1,0 days 00:01:52.415000,7.0,1.0,NaT,NaT,0 days 00:00:32.639000,0 days 00:00:49.487000,0 days 00:00:30.289000,0 days 01:14:36.044000,0 days 01:15:25.531000,0 days 01:15:55.820000,305.0,186.0,209.0,305.0,False,SOFT,7.0,True,Red Bull Racing,0 days 01:14:03.375000,NaT,1,3.0,,,False,True
0 days 01:17:48.262000,VER,1,0 days 00:01:52.472000,8.0,1.0,NaT,NaT,0 days 00:00:32.299000,0 days 00:00:49.833000,0 days 00:00:30.340000,0 days 01:16:28.119000,0 days 01:17:17.952000,0 days 01:17:48.292000,327.0,185.0,209.0,304.0,False,SOFT,8.0,True,Red Bull Racing,0 days 01:15:55.790000,NaT,1,3.0,,,False,True
0 days 01:19:40.142000,VER,1,0 days 00:01:51.880000,9.0,1.0,NaT,NaT,0 days 00:00:32.023000,0 days 00:00:49.462000,0 days 00:00:30.395000,0 days 01:18:20.315000,0 days 01:19:09.777000,0 days 01:19:40.172000,339.0,188.0,209.0,307.0,True,SOFT,9.0,True,Red Bull Racing,0 days 01:17:48.262000,NaT,1,2.0,,,False,True
0 days 01:21:32.597000,VER,1,0 days 00:01:52.455000,10.0,1.0,NaT,NaT,0 days 00:00:32.711000,0 days 00:00:49.261000,0 days 00:00:30.483000,0 days 01:20:12.883000,0 days 01:21:02.144000,0 days 01:21:32.627000,304.0,186.0,208.0,302.0,False,SOFT,10.0,True,Red Bull Racing,0 days 01:19:40.142000,NaT,1,2.0,,,False,True
