Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:04:22.976000,VER,1,0 days 00:01:59.857000,1.0,1.0,NaT,0 days 01:04:20.007000,NaT,0 days 00:01:00.960000,0 days 00:00:35.620000,NaT,0 days 01:03:47.462000,0 days 01:04:23.022000,294.0,178.0,,207.0,False,SOFT,4.0,False,Red Bull Racing,0 days 01:02:22.839000,NaT,124,1.0,,,False,False
0 days 01:06:46.332000,VER,1,0 days 00:02:23.356000,2.0,2.0,0 days 01:04:38.647000,0 days 01:06:43.349000,0 days 00:00:44.083000,0 days 00:01:03.234000,0 days 00:00:36.039000,0 days 01:05:07.084000,0 days 01:06:10.318000,0 days 01:06:46.357000,152.0,164.0,,,False,SOFT,5.0,False,Red Bull Racing,0 days 01:04:22.976000,NaT,45,1.0,,,False,False
0 days 01:32:11.454000,VER,1,NaT,3.0,3.0,0 days 01:30:05.989000,NaT,NaT,0 days 00:00:49.786000,0 days 00:00:49.011000,NaT,0 days 01:31:22.613000,0 days 01:32:11.565000,271.0,218.0,71.0,207.0,False,SOFT,4.0,False,Red Bull Racing,0 days 01:30:00.364000,NaT,1,1.0,,,False,False
0 days 01:34:24.124000,VER,1,0 days 00:02:12.670000,4.0,3.0,NaT,NaT,0 days 00:01:16.382000,0 days 00:00:38.838000,0 days 00:00:17.450000,0 days 01:33:27.861000,0 days 01:34:06.699000,0 days 01:34:24.149000,287.0,239.0,294.0,208.0,True,SOFT,5.0,False,Red Bull Racing,0 days 01:32:11.454000,NaT,1,1.0,,,False,True
0 days 01:35:39.869000,VER,1,0 days 00:01:15.745000,5.0,3.0,NaT,NaT,0 days 00:00:19.651000,0 days 00:00:38.648000,0 days 00:00:17.446000,0 days 01:34:43.800000,0 days 01:35:22.448000,0 days 01:35:39.894000,298.0,238.0,295.0,277.0,True,SOFT,6.0,False,Red Bull Racing,0 days 01:34:24.124000,NaT,1,1.0,,,False,True
0 days 01:36:55.416000,VER,1,0 days 00:01:15.547000,6.0,3.0,NaT,NaT,0 days 00:00:19.715000,0 days 00:00:38.471000,0 days 00:00:17.361000,0 days 01:35:59.609000,0 days 01:36:38.080000,0 days 01:36:55.441000,299.0,241.0,296.0,275.0,True,SOFT,7.0,False,Red Bull Racing,0 days 01:35:39.869000,NaT,1,1.0,,,False,True
0 days 01:38:11.007000,VER,1,0 days 00:01:15.591000,7.0,3.0,NaT,NaT,0 days 00:00:19.596000,0 days 00:00:38.586000,0 days 00:00:17.409000,0 days 01:37:15.037000,0 days 01:37:53.623000,0 days 01:38:11.032000,299.0,244.0,296.0,284.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:36:55.416000,NaT,1,1.0,,,False,True
0 days 01:39:26.871000,VER,1,0 days 00:01:15.864000,8.0,3.0,NaT,NaT,0 days 00:00:19.615000,0 days 00:00:38.746000,0 days 00:00:17.503000,0 days 01:38:30.647000,0 days 01:39:09.393000,0 days 01:39:26.896000,297.0,242.0,295.0,298.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:38:11.007000,NaT,1,1.0,,,False,True
0 days 01:40:43.040000,VER,1,0 days 00:01:16.169000,9.0,3.0,NaT,NaT,0 days 00:00:19.722000,0 days 00:00:38.984000,0 days 00:00:17.463000,0 days 01:39:46.618000,0 days 01:40:25.602000,0 days 01:40:43.065000,293.0,243.0,298.0,275.0,False,SOFT,10.0,False,Red Bull Racing,0 days 01:39:26.871000,NaT,1,1.0,,,False,True
0 days 01:41:59.029000,VER,1,0 days 00:01:15.989000,10.0,3.0,NaT,NaT,0 days 00:00:19.626000,0 days 00:00:38.882000,0 days 00:00:17.481000,0 days 01:41:02.691000,0 days 01:41:41.573000,0 days 01:41:59.054000,297.0,241.0,298.0,283.0,False,SOFT,11.0,False,Red Bull Racing,0 days 01:40:43.040000,NaT,1,1.0,,,False,True
0 days 01:43:15.301000,VER,1,0 days 00:01:16.272000,11.0,3.0,NaT,NaT,0 days 00:00:19.709000,0 days 00:00:39.073000,0 days 00:00:17.490000,0 days 01:42:18.763000,0 days 01:42:57.836000,0 days 01:43:15.326000,297.0,241.0,298.0,279.0,False,SOFT,12.0,False,Red Bull Racing,0 days 01:41:59.029000,NaT,1,1.0,,,False,True
