Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:03:32.264000,VER,1,0 days 00:01:27.912000,1.0,1.0,NaT,NaT,NaT,0 days 00:00:30.370000,0 days 00:00:23.495000,NaT,0 days 01:03:08.823000,0 days 01:03:32.354000,274.0,235.0,244.0,243.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 01:02:04.106000,NaT,12,1.0,,,False,False
0 days 01:04:57.421000,VER,1,0 days 00:01:25.157000,2.0,1.0,NaT,NaT,0 days 00:00:30.527000,0 days 00:00:30.848000,0 days 00:00:23.782000,0 days 01:04:02.817000,0 days 01:04:33.665000,0 days 01:04:57.447000,272.0,229.0,244.0,285.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 01:03:32.264000,NaT,1,1.0,,,False,True
0 days 01:06:22.491000,VER,1,0 days 00:01:25.070000,3.0,1.0,NaT,NaT,0 days 00:00:30.491000,0 days 00:00:30.724000,0 days 00:00:23.855000,0 days 01:05:27.938000,0 days 01:05:58.662000,0 days 01:06:22.517000,269.0,230.0,242.0,287.0,True,MEDIUM,6.0,False,Red Bull Racing,0 days 01:04:57.421000,NaT,1,1.0,,,False,True
0 days 01:07:47.033000,VER,1,0 days 00:01:24.542000,4.0,1.0,NaT,NaT,0 days 00:00:30.403000,0 days 00:00:30.495000,0 days 00:00:23.644000,0 days 01:06:52.920000,0 days 01:07:23.415000,0 days 01:07:47.059000,273.0,232.0,243.0,287.0,True,MEDIUM,7.0,False,Red Bull Racing,0 days 01:06:22.491000,NaT,1,1.0,,,False,True
0 days 01:09:11.876000,VER,1,0 days 00:01:24.843000,5.0,1.0,NaT,NaT,0 days 00:00:30.395000,0 days 00:00:30.707000,0 days 00:00:23.741000,0 days 01:08:17.454000,0 days 01:08:48.161000,0 days 01:09:11.902000,272.0,231.0,242.0,286.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 01:07:47.033000,NaT,1,1.0,,,False,True
0 days 01:10:36.472000,VER,1,0 days 00:01:24.596000,6.0,1.0,NaT,NaT,0 days 00:00:30.248000,0 days 00:00:30.586000,0 days 00:00:23.762000,0 days 01:09:42.150000,0 days 01:10:12.736000,0 days 01:10:36.498000,276.0,227.0,243.0,284.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 01:09:11.876000,NaT,1,1.0,,,False,True
0 days 01:12:00.959000,VER,1,0 days 00:01:24.487000,7.0,1.0,NaT,NaT,0 days 00:00:30.235000,0 days 00:00:30.487000,0 days 00:00:23.765000,0 days 01:11:06.733000,0 days 01:11:37.220000,0 days 01:12:00.985000,276.0,230.0,243.0,284.0,True,MEDIUM,10.0,False,Red Bull Racing,0 days 01:10:36.472000,NaT,1,1.0,,,False,True
0 days 01:13:25.468000,VER,1,0 days 00:01:24.509000,8.0,1.0,NaT,NaT,0 days 00:00:30.362000,0 days 00:00:30.468000,0 days 00:00:23.679000,0 days 01:12:31.347000,0 days 01:13:01.815000,0 days 01:13:25.494000,277.0,230.0,241.0,286.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 01:12:00.959000,NaT,1,1.0,,,False,True
0 days 01:14:49.905000,VER,1,0 days 00:01:24.437000,9.0,1.0,NaT,NaT,0 days 00:00:30.271000,0 days 00:00:30.533000,0 days 00:00:23.633000,0 days 01:13:55.765000,0 days 01:14:26.298000,0 days 01:14:49.931000,277.0,231.0,242.0,286.0,True,MEDIUM,12.0,False,Red Bull Racing,0 days 01:13:25.468000,NaT,1,1.0,,,False,True
0 days 01:16:14.310000,VER,1,0 days 00:01:24.405000,10.0,1.0,NaT,NaT,0 days 00:00:30.290000,0 days 00:00:30.405000,0 days 00:00:23.710000,0 days 01:15:20.221000,0 days 01:15:50.626000,0 days 01:16:14.336000,277.0,230.0,244.0,285.0,True,MEDIUM,13.0,False,Red Bull Racing,0 days 01:14:49.905000,NaT,1,1.0,,,False,True
0 days 01:17:38.772000,VER,1,0 days 00:01:24.462000,11.0,1.0,NaT,NaT,0 days 00:00:30.318000,0 days 00:00:30.352000,0 days 00:00:23.792000,0 days 01:16:44.654000,0 days 01:17:15.006000,0 days 01:17:38.798000,278.0,232.0,241.0,284.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:16:14.310000,NaT,1,1.0,,,False,True
0 days 01:19:03.078000,VER,1,0 days 00:01:24.306000,12.0,1.0,NaT,NaT,0 days 00:00:30.274000,0 days 00:00:30.285000,0 days 00:00:23.747000,0 days 01:18:09.072000,0 days 01:18:39.357000,0 days 01:19:03.104000,277.0,232.0,242.0,285.0,True,MEDIUM,15.0,False,Red Bull Racing,0 days 01:17:38.772000,NaT,1,1.0,,,False,True
0 days 01:20:27.433000,VER,1,0 days 00:01:24.355000,13.0,1.0,NaT,NaT,0 days 00:00:30.336000,0 days 00:00:30.307000,0 days 00:00:23.712000,0 days 01:19:33.440000,0 days 01:20:03.747000,0 days 01:20:27.459000,277.0,234.0,243.0,284.0,False,MEDIUM,16.0,False,Red Bull Racing,0 days 01:19:03.078000,NaT,1,1.0,,,False,True
0 days 01:21:51.634000,VER,1,0 days 00:01:24.201000,14.0,1.0,NaT,NaT,0 days 00:00:30.251000,0 days 00:00:30.200000,0 days 00:00:23.750000,0 days 01:20:57.710000,0 days 01:21:27.910000,0 days 01:21:51.660000,276.0,235.0,242.0,285.0,True,MEDIUM,17.0,False,Red Bull Racing,0 days 01:20:27.433000,NaT,1,1.0,,,False,True
0 days 01:23:15.755000,VER,1,0 days 00:01:24.121000,15.0,1.0,NaT,NaT,0 days 00:00:30.331000,0 days 00:00:30.156000,0 days 00:00:23.634000,0 days 01:22:21.991000,0 days 01:22:52.147000,0 days 01:23:15.781000,277.0,237.0,244.0,284.0,True,MEDIUM,18.0,False,Red Bull Racing,0 days 01:21:51.634000,NaT,1,1.0,,,False,True
0 days 01:24:40.128000,VER,1,0 days 00:01:24.373000,16.0,1.0,NaT,NaT,0 days 00:00:30.364000,0 days 00:00:30.315000,0 days 00:00:23.694000,0 days 01:23:46.145000,0 days 01:24:16.460000,0 days 01:24:40.154000,277.0,234.0,243.0,288.0,False,MEDIUM,19.0,False,Red Bull Racing,0 days 01:23:15.755000,NaT,1,1.0,,,False,True
0 days 01:26:04.342000,VER,1,0 days 00:01:24.214000,17.0,1.0,NaT,NaT,0 days 00:00:30.292000,0 days 00:00:30.210000,0 days 00:00:23.712000,0 days 01:25:10.446000,0 days 01:25:40.656000,0 days 01:26:04.368000,277.0,235.0,242.0,285.0,False,MEDIUM,20.0,False,Red Bull Racing,0 days 01:24:40.128000,NaT,1,1.0,,,False,True
0 days 01:27:28.537000,VER,1,0 days 00:01:24.195000,18.0,1.0,NaT,NaT,0 days 00:00:30.357000,0 days 00:00:30.206000,0 days 00:00:23.632000,0 days 01:26:34.725000,0 days 01:27:04.931000,0 days 01:27:28.563000,276.0,235.0,242.0,285.0,False,MEDIUM,21.0,False,Red Bull Racing,0 days 01:26:04.342000,NaT,1,1.0,,,False,True
0 days 01:28:52.933000,VER,1,0 days 00:01:24.396000,19.0,1.0,NaT,NaT,0 days 00:00:30.324000,0 days 00:00:30.217000,0 days 00:00:23.855000,0 days 01:27:58.887000,0 days 01:28:29.104000,0 days 01:28:52.959000,278.0,235.0,243.0,285.0,False,MEDIUM,22.0,False,Red Bull Racing,0 days 01:27:28.537000,NaT,1,1.0,,,False,True
0 days 01:30:16.998000,VER,1,0 days 00:01:24.065000,20.0,1.0,NaT,NaT,0 days 00:00:30.213000,0 days 00:00:30.134000,0 days 00:00:23.718000,0 days 01:29:23.172000,0 days 01:29:53.306000,0 days 01:30:17.024000,278.0,235.0,243.0,286.0,True,MEDIUM,23.0,False,Red Bull Racing,0 days 01:28:52.933000,NaT,1,1.0,,,False,True
0 days 01:31:41.010000,VER,1,0 days 00:01:24.012000,21.0,1.0,NaT,NaT,0 days 00:00:30.306000,0 days 00:00:30.065000,0 days 00:00:23.641000,0 days 01:30:47.330000,0 days 01:31:17.395000,0 days 01:31:41.036000,277.0,237.0,243.0,287.0,True,MEDIUM,24.0,False,Red Bull Racing,0 days 01:30:16.998000,NaT,1,1.0,,,False,True
0 days 01:33:05.370000,VER,1,0 days 00:01:24.360000,22.0,1.0,NaT,NaT,0 days 00:00:30.326000,0 days 00:00:30.345000,0 days 00:00:23.689000,0 days 01:32:11.362000,0 days 01:32:41.707000,0 days 01:33:05.396000,277.0,234.0,243.0,286.0,False,MEDIUM,25.0,False,Red Bull Racing,0 days 01:31:41.010000,NaT,1,1.0,,,False,True
0 days 01:34:32.521000,VER,1,0 days 00:01:27.151000,23.0,1.0,NaT,0 days 01:34:30.758000,0 days 00:00:30.367000,0 days 00:00:30.662000,0 days 00:00:26.122000,0 days 01:33:35.763000,0 days 01:34:06.425000,0 days 01:34:32.547000,278.0,237.0,,287.0,False,MEDIUM,26.0,False,Red Bull Racing,0 days 01:33:05.370000,NaT,1,1.0,,,False,False
0 days 01:36:14.528000,VER,1,0 days 00:01:42.007000,24.0,2.0,0 days 01:34:52.164000,NaT,0 days 00:00:48.429000,0 days 00:00:30.204000,0 days 00:00:23.374000,0 days 01:35:20.976000,0 days 01:35:51.180000,0 days 01:36:14.554000,266.0,235.0,245.0,287.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:34:32.521000,NaT,1,1.0,,,False,False
0 days 01:37:38.305000,VER,1,0 days 00:01:23.777000,25.0,2.0,NaT,NaT,0 days 00:00:30.109000,0 days 00:00:30.145000,0 days 00:00:23.523000,0 days 01:36:44.663000,0 days 01:37:14.808000,0 days 01:37:38.331000,271.0,235.0,245.0,286.0,True,HARD,2.0,True,Red Bull Racing,0 days 01:36:14.528000,NaT,1,1.0,,,False,True
0 days 01:39:02.022000,VER,1,0 days 00:01:23.717000,26.0,2.0,NaT,NaT,0 days 00:00:30.176000,0 days 00:00:30.036000,0 days 00:00:23.505000,0 days 01:38:08.507000,0 days 01:38:38.543000,0 days 01:39:02.048000,278.0,236.0,243.0,287.0,True,HARD,3.0,True,Red Bull Racing,0 days 01:37:38.305000,NaT,1,1.0,,,False,True
0 days 01:40:25.658000,VER,1,0 days 00:01:23.636000,27.0,2.0,NaT,NaT,0 days 00:00:30.286000,0 days 00:00:29.961000,0 days 00:00:23.389000,0 days 01:39:32.334000,0 days 01:40:02.295000,0 days 01:40:25.684000,279.0,237.0,245.0,286.0,True,HARD,4.0,True,Red Bull Racing,0 days 01:39:02.022000,NaT,1,1.0,,,False,True
0 days 01:41:49.345000,VER,1,0 days 00:01:23.687000,28.0,2.0,NaT,NaT,0 days 00:00:30.161000,0 days 00:00:30.061000,0 days 00:00:23.465000,0 days 01:40:55.845000,0 days 01:41:25.906000,0 days 01:41:49.371000,278.0,236.0,246.0,288.0,False,HARD,5.0,True,Red Bull Racing,0 days 01:40:25.658000,NaT,1,1.0,,,False,True
0 days 01:43:13.107000,VER,1,0 days 00:01:23.762000,29.0,2.0,NaT,NaT,0 days 00:00:30.210000,0 days 00:00:30.048000,0 days 00:00:23.504000,0 days 01:42:19.581000,0 days 01:42:49.629000,0 days 01:43:13.133000,279.0,236.0,246.0,289.0,False,HARD,6.0,True,Red Bull Racing,0 days 01:41:49.345000,NaT,1,1.0,,,False,True
