Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:23:49.780000,VER,1,0 days 00:01:27.905000,1.0,1.0,NaT,NaT,NaT,0 days 00:00:29.666000,0 days 00:00:28.473000,NaT,0 days 01:23:21.428000,0 days 01:23:49.865000,320.0,307.0,306.0,285.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:22:21.726000,NaT,1,2.0,,,False,False
0 days 01:25:15.943000,VER,1,0 days 00:01:26.163000,2.0,1.0,NaT,NaT,0 days 00:00:28.274000,0 days 00:00:29.543000,0 days 00:00:28.346000,0 days 01:24:18.057000,0 days 01:24:47.600000,0 days 01:25:15.946000,309.0,309.0,307.0,305.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:23:49.780000,NaT,1,2.0,,,False,True
0 days 01:26:41.645000,VER,1,0 days 00:01:25.702000,3.0,1.0,NaT,NaT,0 days 00:00:28.097000,0 days 00:00:29.320000,0 days 00:00:28.285000,0 days 01:25:44.043000,0 days 01:26:13.363000,0 days 01:26:41.648000,310.0,320.0,308.0,309.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:25:15.943000,NaT,1,2.0,,,False,True
0 days 01:28:07.695000,VER,1,0 days 00:01:26.050000,4.0,1.0,NaT,NaT,0 days 00:00:28.145000,0 days 00:00:29.474000,0 days 00:00:28.431000,0 days 01:27:09.793000,0 days 01:27:39.267000,0 days 01:28:07.698000,311.0,320.0,309.0,318.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:26:41.645000,NaT,1,2.0,,,False,True
0 days 01:29:33.871000,VER,1,0 days 00:01:26.176000,5.0,1.0,NaT,NaT,0 days 00:00:28.155000,0 days 00:00:29.514000,0 days 00:00:28.507000,0 days 01:28:35.853000,0 days 01:29:05.367000,0 days 01:29:33.874000,311.0,321.0,310.0,317.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:28:07.695000,NaT,1,2.0,,,False,True
0 days 01:31:00.708000,VER,1,0 days 00:01:26.837000,6.0,1.0,NaT,NaT,0 days 00:00:28.700000,0 days 00:00:29.662000,0 days 00:00:28.475000,0 days 01:30:02.574000,0 days 01:30:32.236000,0 days 01:31:00.711000,310.0,319.0,309.0,347.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:29:33.871000,NaT,1,2.0,,,False,True
0 days 01:32:27.076000,VER,1,0 days 00:01:26.368000,7.0,1.0,NaT,NaT,0 days 00:00:28.166000,0 days 00:00:29.751000,0 days 00:00:28.451000,0 days 01:31:28.877000,0 days 01:31:58.628000,0 days 01:32:27.079000,309.0,318.0,309.0,320.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:31:00.708000,NaT,1,2.0,,,False,True
0 days 01:33:53.066000,VER,1,0 days 00:01:25.990000,8.0,1.0,NaT,NaT,0 days 00:00:28.075000,0 days 00:00:29.432000,0 days 00:00:28.483000,0 days 01:32:55.154000,0 days 01:33:24.586000,0 days 01:33:53.069000,312.0,322.0,310.0,321.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:32:27.076000,NaT,1,2.0,,,False,True
0 days 01:35:19.671000,VER,1,0 days 00:01:26.605000,9.0,1.0,NaT,NaT,0 days 00:00:28.149000,0 days 00:00:29.927000,0 days 00:00:28.529000,0 days 01:34:21.218000,0 days 01:34:51.145000,0 days 01:35:19.674000,312.0,319.0,309.0,344.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:33:53.066000,NaT,1,2.0,,,False,True
0 days 01:36:46.274000,VER,1,0 days 00:01:26.603000,10.0,1.0,NaT,NaT,0 days 00:00:28.315000,0 days 00:00:29.780000,0 days 00:00:28.508000,0 days 01:35:47.989000,0 days 01:36:17.769000,0 days 01:36:46.277000,312.0,319.0,309.0,322.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:35:19.671000,NaT,1,2.0,,,False,True
